smiles,homo
C,-0.3877
N,-0.257
O,-0.2928
C#C,-0.2845
C#N,-0.3604
C=O,-0.267
CC,-0.3385
CO,-0.2653
CC#C,-0.2609
CC#N,-0.3264
CC=O,-0.254
C(=O)N,-0.2543
CCC,-0.323
CCO,-0.2619
COC,-0.2525
C1CC1,-0.2888
C1CO1,-0.2682
CC(=O)C,-0.2431
CC(=O)N,-0.2436
C(=O)(N)N,-0.2495
CC(C)C,-0.3167
CC(C)O,-0.2612
C#CC#C,-0.2599
C#CC#N,-0.3102
C(#N)C#N,-0.3696
C#CC=O,-0.2777
C(=O)C#N,-0.3166
C(=O)C=O,-0.2668
CC#CC,-0.2412
CCC#C,-0.2592
CCC#N,-0.3213
C(C#N)N,-0.2683
C#CCO,-0.2595
C(C#N)O,-0.3018
CCC=O,-0.25
CNC=O,-0.2516
COC=O,-0.2814
C(C=O)O,-0.2537
CCCC,-0.317
CCCO,-0.2619
CCOC,-0.2503
C(CO)O,-0.2594
CC1CC1,-0.2727
CC1CO1,-0.2633
CN1CC1,-0.2304
C1CC1O,-0.239
C1CCC1,-0.2982
C1COC1,-0.2424
CC(=NO)C,-0.2392
c1cc[nH]c1,-0.2029
c1cnc[nH]1,-0.2253
c1ccoc1,-0.2246
c1cocn1,-0.2509
CC(C)(C)C,-0.3145
CC(C)(C)O,-0.2601
CC(=O)C#C,-0.2654
CC(=O)C#N,-0.3007
C(#N)C(=N)N,-0.2739
C#CC(=O)N,-0.2629
CC(=O)C=O,-0.2538
C(=O)C(=N)N,-0.2561
C(=O)C(=O)N,-0.2533
CC(C)C#C,-0.2589
CC(C)C#N,-0.318
CC(N)C#N,-0.2704
CC(O)C#C,-0.2665
CC(O)C#N,-0.3051
CC(C)C=O,-0.2469
CC(O)C=O,-0.255
CN(C)C=O,-0.2424
CC(=O)CO,-0.2699
CCC(=O)C,-0.2423
CCC(=O)N,-0.2438
CC(=O)NC,-0.2418
CNC(=O)N,-0.2436
COC(C)=N,-0.2595
CC(=O)OC,-0.2685
